1 -9.595 -0.543 -0.543 0.000 0.000 0.000
2 1.359 25.530 36.915 -0.284 0.267 0.146
3 0.199 0.012 -1.481 -0.086 -0.147 -0.193
4 0.465 -1.552 0.325 0.144 1.145 0.028
5 -0.524 -0.108 2.134 -0.664 -0.031 0.003
6 -0.673 -1.129 2.998 -0.065 -0.314 0.125
8 1.772 -1.493 0.427 0.301 -0.111 0.039
9 -3.830 -8.333 2.342 0.189 0.139 0.015
11 0.545 -0.214 0.219 -0.049 -0.000 0.005
15 11.093 -5.939 -3.155 0.002 0.000 -0.341
16 1.388 1.241 -1.044 0.010 0.190 0.002
17 -2.841 -1.899 -1.894 -0.050 0.094 2.725
18 0.655 0.295 1.207 0.125 -0.001 -0.026
21 1.712 -1.262 0.291 0.136 0.003 0.086
22 -3.882 5.038 -19.126 -4.072 0.003 0.018
24 0.361 -1.119 -3.302 0.151 -0.003 0.282
25 1.279 -1.719 -0.092 -0.001 0.197 -0.002
29 -19.233 -18.390 -18.461 -0.306 -3.532 11.753
31 6.366 -10.638 5.537 19.009 -2.842 -3.159
19 -0.658 2.747 -1.905 0.206 0.504 0.263
32 -13.488 -0.412 1.039 0.529 0.201 -0.139
34 3.899 -3.748 9.790 -7.209 -0.003 0.014
36 2.394 6.337 -3.373 -0.030 -1.108 0.026
38 0.932 -1.677 -0.299 0.478 0.113 0.002
39 -0.216 0.212 2.116 -0.139 1.313 -0.112
41 -1.396 -0.978 -0.225 0.604 -0.006 -0.003
42 1.328 -2.210 -1.952 -6.152 0.064 -3.160
44 -2.207 0.201 -0.342 0.462 -0.423 0.346
49 0.633 -4.773 -1.873 -0.369 -0.004 0.005
50 -2.116 3.779 0.294 -0.055 -0.006 -0.490
51 -0.387 -0.154 -0.054 -1.142 0.261 0.037
52 0.679 -2.049 0.430 -0.010 0.064 -0.003
56 -0.165 -5.614 4.658 0.040 -2.665 0.008
57 -11.160 2.060 3.746 -1.255 -0.092 0.411
58 1.690 -0.629 -2.781 0.146 -3.038 0.028
69 0.126 1.393 1.203 -0.000 -1.801 -0.003
70 -5.162 0.611 7.569 3.298 0.405 6.776
71 1.366 -0.111 -0.361 0.007 -0.148 -0.171
72 -0.825 -0.745 0.312 -1.793 2.326 -0.428
73 -3.147 -3.067 3.872 -0.106 0.782 -0.062
74 -0.058 -1.423 2.892 1.083 -0.564 0.739
75 3.104 -1.152 1.958 1.322 0.031 -0.172
63 -0.887 1.419 -0.329 -0.001 1.347 0.002
66 -0.989 1.954 2.538 0.004 -0.451 -0.000
77 3.314 4.554 -2.709 -0.020 1.540 -0.042
86 -1.609 0.686 -3.616 -0.000 0.136 0.004
87 -0.537 -1.980 0.414 0.012 -0.329 -0.004
