1 -9.595 -0.543 -0.543 0.000 0.000 0.000
2 1.359 25.530 36.915 -0.284 0.267 0.146
17 -2.841 -1.899 -1.894 -0.050 0.094 2.725
32 -13.488 -0.412 1.039 0.529 0.201 -0.139
57 -11.160 2.060 3.746 -1.255 -0.092 0.411
66 -0.989 1.954 2.538 0.004 -0.451 -0.000
87 -0.537 -1.980 0.414 0.012 -0.329 -0.004
103 -0.939 1.246 -0.976 -0.002 0.556 0.001
116 0.318 -1.558 0.697 -0.068 -0.154 0.079
127 -1.719 -4.152 0.171 0.003 -0.910 -0.001
138 0.688 0.542 -0.014 0.054 -0.517 0.077
155 -0.659 -2.611 1.364 0.012 0.052 0.021
195 0.288 2.600 -1.254 -0.006 -0.144 0.115
203 0.191 -0.738 0.472 0.066 -0.478 0.017
226 0.730 2.727 -0.427 -0.261 -0.147 0.110
243 -1.322 0.281 -0.101 0.114 0.330 -0.055
245 2.141 -1.722 -0.035 0.638 0.301 -0.240
288 0.713 -1.822 1.244 -0.350 0.542 0.753
302 0.837 -0.349 -0.650 -0.000 1.470 -0.212
306 0.384 0.842 0.117 -0.035 1.453 -0.449
335 2.772 -2.140 5.284 -0.035 -0.394 -0.178
365 -0.277 -0.854 -0.143 0.037 -0.108 -0.036
371 -1.027 -0.243 1.930 0.283 -0.094 -0.377
400 -1.197 0.560 -0.916 -0.809 0.154 -0.779
406 0.218 0.810 1.293 0.003 0.143 -0.044
422 0.203 0.536 0.884 -0.004 -0.017 0.032
457 -0.559 0.584 -0.675 -0.012 0.685 0.009
473 0.612 -1.841 1.473 0.066 0.449 -0.110
485 0.658 -1.672 1.251 0.126 0.351 0.052
494 -0.533 0.632 -0.624 -0.055 0.705 0.022
509 -0.490 0.660 -0.593 -0.114 0.740 -0.005
525 -0.447 0.700 -0.567 -0.083 0.721 0.017
555 -0.239 0.920 -0.951 -0.165 0.550 -0.055
579 0.870 -1.917 1.234 0.176 0.287 0.077
599 -0.853 0.947 -0.716 -0.084 0.738 -0.046
600 0.649 -1.982 1.542 -0.006 0.301 0.129
622 0.717 -1.378 0.962 -0.004 0.312 0.125
647 0.748 -1.755 0.994 -0.073 0.248 -0.014
662 0.963 -2.217 1.364 -0.130 0.295 -0.011
677 1.031 -2.164 1.412 -0.041 0.144 -0.198
692 1.098 -2.124 1.368 0.061 -0.130 -0.163
