-31.326 -37.525 -37.524 -37.525 -37.525
8.325 -34.038 -34.357 -34.358 -34.360
-35.349 -40.076 -40.079 -40.079 -40.079
-36.706 -42.811 -42.822 -42.822 -42.822
-43.181 -52.977 -52.978 -52.978 -52.978
-45.220 -51.564 -51.564 -51.564 -51.564
-29.251 -37.596 -37.611 -37.611 -37.611
-26.907 -34.217 -34.223 -34.224 -34.224
-23.805 -32.851 -32.950 -32.957 -32.962
-44.459 -52.477 -52.537 -52.549 -52.550
-33.895 -40.177 -40.177 -40.177 -40.177
-36.376 -42.017 -43.469 -43.470 -43.470
-35.883 -49.840 -49.892 -49.899 -49.899
-45.238 -51.735 -51.735 -51.735 -51.735
-9.746 -27.168 -27.224 -27.225 -27.225
-21.291 -29.276 -29.287 -29.293 -29.295
-53.088 -59.034 -59.033 -59.034 -59.034
-29.048 -38.332 -38.332 -38.364 -38.363
-44.461 -54.359 -54.364 -54.364 -54.364
-39.076 -48.700 -48.929 -48.929 -48.929
-29.761 -37.573 -37.655 -37.689 -37.695
-29.926 -35.247 -35.247 -35.248 -35.247
-26.623 -35.352 -35.357 -35.357 -35.357
-48.208 -53.509 -53.624 -53.636 -53.696
-31.468 -39.136 -39.194 -39.200 -39.199
-41.634 -53.803 -53.918 -53.918 -53.918
-8.222 -38.729 -38.743 -38.749 -38.751
4.204 -23.163 -23.192 -23.192 -23.192
-40.483 -45.798 -45.823 -45.830 -45.966
-33.447 -36.981 -36.983 -36.983 -36.982
-28.497 -46.014 -46.075 -46.075 -46.076
-18.547 -26.157 -26.166 -26.168 -26.170
-16.066 -18.217 -18.217 -18.217 -18.217
-44.546 -50.132 -50.132 -50.132 -50.132
-39.822 -43.925 -43.925 -43.925 -43.925
-15.007 -28.220 -28.250 -28.266 -28.282
-28.973 -34.463 -34.467 -34.467 -34.467
-25.897 -41.895 -41.985 -41.991 -41.992
-11.597 -21.501 -21.618 -21.619 -21.619
-23.327 -24.920 -24.920 -24.920 -24.920
-44.545 -49.458 -49.458 -49.456 -49.449
-38.022 -41.914 -41.914 -41.914 -41.914
-17.326 -17.939 -17.939 -17.939 -17.939
-21.684 -32.882 -32.876 -32.882 -32.883
-28.549 -35.957 -35.957 -35.957 -35.957
-17.120 -43.878 -43.945 -43.972 -43.980
-22.497 -29.828 -29.871 -29.871 -29.871
-22.310 -24.891 -24.907 -24.891 -24.907
-44.179 -50.242 -50.242 -50.242 -50.242
-39.342 -44.473 -44.442 -44.442 -44.442
-7.621 -38.712 -38.732 -38.740 -38.747
-38.087 -44.036 -44.185 -44.184 -44.184
-36.341 -45.952 -45.999 -45.926 -45.937
-23.964 -32.952 -32.953 -32.953 -32.891
-27.779 -46.096 -46.147 -46.179 -46.196
-21.133 -29.915 -29.917 -29.917 -29.917
-22.290 -24.911 -24.911 -24.910 -24.910
-48.033 -49.843 -49.843 -49.843 -49.843
-25.228 -27.819 -27.828 -27.828 -27.828
-18.437 -25.351 -25.351 -25.352 -25.352
-27.444 -43.136 -43.136 -43.136 -43.137
76.377 -15.122 -15.792 -16.317 -16.323
-38.388 -45.212 -45.216 -45.216 -45.216
-16.968 -25.232 -25.238 -25.241 -25.244
-24.521 -42.455 -42.526 -42.536 -42.550
-42.121 -50.047 -50.226 -50.239 -50.252
-14.130 -24.934 -24.960 -24.962 -24.988
136.520 -28.598 -28.605 -28.616 -28.621
-42.936 -49.170 -49.182 -49.188 -49.192
62.940 -14.612 -15.189 -15.194 -15.194
56.121 -40.782 -40.972 -41.007 -41.021
-9.373 -16.683 -16.692 -16.707 -16.718
-26.633 -33.467 -33.507 -33.563 -33.681
-11.135 -32.776 -33.426 -32.787 -32.789
-15.791 -24.929 -24.965 -25.012 -25.028
78.868 -24.014 -24.677 -24.796 -24.837
-6.995 -33.171 -33.188 -33.198 -33.205
-25.006 -28.214 -28.218 -28.221 -28.222
-28.299 -33.791 -33.791 -33.791 -33.791
-15.498 -24.220 -24.233 -24.233 -24.233
-24.634 -27.481 -27.481 -27.481 -27.481
-5.395 -33.220 -33.239 -33.242 -33.244
-25.216 -28.194 -28.196 -28.196 -28.196
