-647.884 -647.884 -647.884 -647.960
-644.935 -644.935 -644.935 -645.016
-641.554 -641.554 -641.554 -641.647
-650.302 -650.302 -650.302 -650.381
-643.998 -643.998 -643.998 -644.087
-649.964 -649.964 -649.964 -650.036
-648.614 -648.614 -648.614 -648.682
-646.592 -646.592 -646.592 -646.678
-647.626 -647.626 -647.626 -647.717
-648.645 -648.645 -648.645 -648.728
-644.294 -644.294 -644.294 -644.376
-632.965 -632.965 -632.965 -633.035
-648.819 -648.819 -648.819 -648.899
-557.047 -646.532 -646.532 -646.618
-649.391 -649.391 -649.391 -649.477
-651.231 -651.231 -651.231 -651.304
-646.746 -646.746 -646.746 -646.832
-646.141 -646.141 -646.141 -646.217
-648.464 -648.464 -648.464 -648.544
-646.675 -646.674 -646.674 -646.755
-649.651 -649.651 -649.651 -649.721
-653.490 -653.490 -653.490 -653.565
-643.971 -643.971 -643.971 -644.045
-643.589 -643.589 -643.589 -643.667
-643.554 -643.554 -643.554 -643.637
-650.302 -650.302 -650.302 -650.381
-646.483 -646.483 -646.483 -646.574
-651.943 -651.943 -651.943 -652.025
-647.401 -647.401 -647.401 -647.482
-651.972 -651.972 -651.972 -652.042
-646.498 -646.498 -646.498 -646.592
-653.490 -653.490 -653.490 -653.565
-644.097 -644.097 -644.096 -644.187
-642.464 -642.464 -642.464 -642.540
-646.991 -646.991 -646.991 -647.072
-644.096 -644.096 -644.096 -644.186
-642.909 -642.909 -642.909 -642.992
-648.647 -648.646 -648.646 -648.722
-648.226 -648.226 -648.226 -648.301
-651.231 -651.231 -651.231 -651.304
-645.148 -645.147 -645.147 -645.234
-643.223 -643.223 -643.223 -643.303
-652.146 -652.146 -652.146 -652.220
-647.807 -647.807 -647.807 -647.888
-651.746 -651.746 -651.746 -651.818
-649.836 -649.836 -649.836 -649.916
-649.595 -649.595 -649.595 -649.677
-649.478 -649.478 -649.478 -649.563
-647.370 -647.370 -647.370 -647.466
-649.551 -649.551 -649.551 -649.618
-647.361 -647.361 -647.361 -647.447
-649.599 -649.599 -649.599 -649.669
-644.266 -644.266 -644.266 -644.344
-651.046 -651.046 -651.046 -651.119
-644.671 -644.671 -644.671 -644.745
-641.483 -641.483 -641.483 -641.559
-650.850 -650.850 -650.850 -650.923
-649.391 -649.391 -649.391 -649.477
-648.936 -648.936 -648.936 -649.013
-646.620 -646.620 -646.620 -646.700
-651.606 -651.606 -651.606 -651.678
-649.439 -649.439 -649.439 -649.525
-647.173 -647.173 -647.173 -647.247
-647.900 -647.900 -647.900 -647.993
-645.734 -645.734 -645.734 -645.824
-647.887 -647.887 -647.887 -647.957
-649.977 -649.977 -649.977 -650.047
