4.2580 4.2580 4.2580 0.0000 0.0000 0.0000
4.3700 4.3303 4.1103 0.0334 0.0611 0.0215
4.6324 4.4747 3.7572 0.0750 0.1351 0.0454
4.9244 4.6244 3.4162 0.1069 0.1683 0.0582
5.2576 4.7717 3.1097 0.1277 0.1778 0.0580
5.6411 4.9081 2.8458 0.1496 0.1654 0.0555
6.0411 5.0013 2.6514 0.1631 0.1490 0.0497
6.4411 5.0375 2.5163 0.1726 0.1264 0.0494
6.8411 5.0178 2.4235 0.1803 0.1088 0.0455
7.2411 4.9544 2.3569 0.1822 0.0961 0.0440
7.6411 4.8690 2.3058 0.1821 0.0895 0.0416
8.0411 4.7670 2.2696 0.1774 0.0888 0.0379
8.4411 4.6608 2.2394 0.1685 0.0819 0.0388
8.0411 4.5156 2.2712 0.1343 0.0859 0.0552
8.2095 4.1156 2.3219 0.0434 0.0796 0.0770
8.0645 3.8035 2.4140 -0.0519 0.0805 0.0909
7.9873 3.4835 2.5315 -0.1640 0.0766 0.1023
7.9274 3.1821 2.6766 -0.2958 0.0794 0.1135
7.8874 2.9048 2.8447 -0.4423 0.0839 0.1292
7.8697 2.6538 3.0387 -0.6035 0.0996 0.1445
7.8793 2.4281 3.2610 -0.7657 0.1216 0.1638
